COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Afghanistan,AFG,EMRO,REPORTING,6/22/2021,765890,582128,1.967,1.495,"Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",2/22/2021,3
Albania,ALB,EURO,REPORTING,6/6/2021,798826,487990,27.8,16.957,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/13/2021,5
American Samoa,ASM,WPRO,REPORTING,5/28/2021,42271,23188,76.582,42.01,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/21/2020,3
Andorra,AND,EURO,REPORTING,6/13/2021,51114,34646,66.2,44.84,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",1/20/2021,2
Angola,AGO,AFRO,REPORTING,6/20/2021,1380174,866381,4.199,2.636,SII - Covishield,3/10/2021,1
Anguilla,AIA,AMRO,REPORTING,6/18/2021,15198,9183,101.306,61.212,AstraZeneca - Vaxzevria,2/5/2021,1
Antigua and Barbuda,ATG,AMRO,REPORTING,6/18/2021,60011,35350,61.28,36.098,"AstraZeneca - Vaxzevria,SII - Covishield",2/19/2021,2
Argentina,ARG,AMRO,REPORTING,6/18/2021,17475935,13852316,38.667,30.65,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,SII - Covishield",12/29/2020,4
Armenia,ARM,EURO,OWID,6/14/2021,46503,46503,1.6,1.569,"AstraZeneca - AZD1222, Sinovac - CoronaVac, Gamaleya - Sputnik V",,3
Aruba,ABW,AMRO,REPORTING,6/18/2021,122680,66466,114.905,62.254,"Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty",2/17/2021,2
Australia,AUS,WPRO,REPORTING,6/7/2021,5931245,5370069,23.26,21.059,"AstraZeneca - Vaxzevria,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2/22/2021,3
Austria,AUT,EURO,REPORTING,6/13/2021,6373937,4214996,71.6,47.354,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/30/2020,4
Azerbaijan,AZE,EURO,REPORTING,6/6/2021,2545862,1610761,25.1,15.887,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Sinovac - CoronaVac",1/20/2021,3
Bahamas,BHS,AMRO,REPORTING,6/18/2021,68119,50292,17.322,12.789,"AstraZeneca - Vaxzevria,SII - Covishield",3/14/2021,2
Bahrain,BHR,EMRO,REPORTING,6/22/2021,1955753,1045317,114.938,61.432,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield",12/25/2020,6
Bangladesh,BGD,SEARO,REPORTING,6/15/2021,10079676,5822177,6.12,3.535,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield",1/27/2021,4
Barbados,BRB,AMRO,REPORTING,6/18/2021,153350,89921,53.362,31.29,"AstraZeneca - Vaxzevria,SII - Covishield",2/10/2021,2
Belarus,BLR,EURO,REPORTING,6/13/2021,1068413,699141,11.3,7.399,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V",2/3/2021,2
Belgium,BEL,EURO,REPORTING,6/13/2021,8775205,5662312,76.2,49.142,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/30/2020,4
Belize,BLZ,AMRO,REPORTING,6/18/2021,95452,75123,24.005,18.893,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,SII - Covishield",3/1/2021,3
Benin,BEN,AFRO,REPORTING,6/20/2021,26518,21834,0.219,0.18,"SII - Covishield,Sinovac - CoronaVac",3/29/2021,2
Bermuda,BMU,AMRO,REPORTING,6/18/2021,76526,41010,122.888,65.855,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",1/11/2021,2
Bhutan,BTN,SEARO,REPORTING,6/13/2021,484189,484189,62.751,62.751,"Pfizer BioNTech - Comirnaty,SII - Covishield",3/27/2021,2
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,6/18/2021,2205639,1630477,18.895,13.968,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield",1/30/2021,4
Bonaire,XAA,AMRO,REPORTING,6/18/2021,26469,14601,126.555,69.811,,,
"Bonaire, Sint Eustatius and Saba",BES,AMRO,REPORTING,4/9/2021,7391,5726,28.441,22.034,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2/22/2021,2
Bosnia and Herzegovina,BIH,EURO,OWID,6/13/2021,315780,252499,9.6,7.696,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",,4
Botswana,BWA,AFRO,REPORTING,6/20/2021,153100,153100,6.51,6.51,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/26/2021,4
Brazil,BRA,AMRO,REPORTING,6/18/2021,78583450,56438293,36.97,26.552,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/17/2021,4
British Virgin Islands,VGB,AMRO,REPORTING,6/18/2021,20278,12405,67.064,41.026,AstraZeneca - Vaxzevria,2/11/2021,1
Brunei Darussalam,BRN,WPRO,REPORTING,6/12/2021,61225,49763,13.995,11.375,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",4/3/2021,5
Bulgaria,BGR,EURO,REPORTING,6/13/2021,1594929,878310,22.9,12.635,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/30/2020,4
Burkina Faso,BFA,AFRO,REPORTING,6/20/2021,17775,17775,0.085,0.085,SII - Covishield,6/2/2021,1
Cabo Verde,CPV,AFRO,REPORTING,6/20/2021,63606,60771,11.44,10.93,"Pfizer BioNTech - Comirnaty,SII - Covishield",3/18/2021,2
Cambodia,KHM,WPRO,REPORTING,6/5/2021,4839260,2710359,28.945,16.211,"Beijing CNBG - BBIBP-CorV,SII - Covishield,Sinovac - CoronaVac",2/10/2021,3
Cameroon,CMR,AFRO,REPORTING,6/20/2021,97245,78476,0.366,0.296,"Beijing CNBG - BBIBP-CorV,SII - Covishield",4/12/2021,2
Canada,CAN,AMRO,REPORTING,6/18/2021,30885092,24880007,81.832,65.921,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",12/14/2020,3
Cayman Islands,CYM,AMRO,REPORTING,6/18/2021,86711,46928,131.94,71.406,Pfizer BioNTech - Comirnaty,1/15/2021,1
Central African Republic,CAF,AFRO,REPORTING,6/20/2021,42644,41095,0.883,0.851,"Bharat - Covaxin,SII - Covishield",3/19/2021,2
Chad,TCD,AFRO,REPORTING,6/20/2021,5324,5324,0.032,0.032,Beijing CNBG - BBIBP-CorV,6/4/2021,1
Chile,CHL,AMRO,REPORTING,6/18/2021,20865921,11832657,109.153,61.899,"AstraZeneca - Vaxzevria,CanSino - Ad5-nCOV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",12/21/2020,4
China,CHN,WPRO,REPORTING,6/6/2021,895789859,,60.885,,"Anhui ZL - Recombinant,Beijing CNBG - BBIBP-CorV,CanSino - Ad5-nCOV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",3/6/2021,6
Colombia,COL,AMRO,REPORTING,6/18/2021,13167044,9291221,25.877,18.26,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/17/2021,3
Comoros,COM,AFRO,REPORTING,6/20/2021,84360,43140,9.701,4.961,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",4/10/2021,3
Congo,COG,AFRO,REPORTING,6/20/2021,67511,26713,1.223,0.484,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,SII - Covishield",3/23/2021,4
Cook Islands,COK,WPRO,REPORTING,5/5/2021,8291,8291,47.205,47.205,Pfizer BioNTech - Comirnaty,5/18/2021,1
Costa Rica,CRI,AMRO,REPORTING,6/18/2021,2150520,1409778,42.216,27.675,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",12/24/2020,2
Côte d’Ivoire,CIV,AFRO,REPORTING,6/20/2021,719701,648638,2.728,2.459,"Gamaleya - Sputnik V,SII - Covishield",3/1/2021,2
Croatia,HRV,EURO,REPORTING,6/13/2021,2162163,1401519,53.3,34.856,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/23/2020,4
Cuba,CUB,AMRO,REPORTING,5/28/2021,798655,798655,7.051,7.051,"Abdala, Soberana02",,2
Curaçao,CUW,AMRO,REPORTING,6/18/2021,163328,87820,99.534,53.518,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2/24/2021,3
Cyprus,CYP,EURO,REPORTING,6/13/2021,693356,414474,78.1,46.675,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/23/2020,4
Czechia,CZE,EURO,REPORTING,6/13/2021,6604926,4511561,61.8,42.188,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/23/2020,4
Democratic Republic of the Congo,COD,AFRO,REPORTING,6/20/2021,42951,40342,0.048,0.045,SII - Covishield,4/19/2021,1
Denmark,DNK,EURO,REPORTING,6/13/2021,4135631,2654632,71,45.591,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/30/2020,3
Djibouti,DJI,EMRO,REPORTING,6/1/2021,21357,12547,2.162,1.27,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,SII - Covishield,Sinovac - CoronaVac",3/15/2021,4
Dominica,DMA,AMRO,REPORTING,6/18/2021,38646,20176,53.682,28.026,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,SII - Covishield",2/12/2021,3
Dominican Republic,DOM,AMRO,REPORTING,6/18/2021,6675351,4344495,61.536,40.049,"AstraZeneca - Vaxzevria,SII - Covishield,Sinovac - CoronaVac",2/16/2021,3
Ecuador,ECU,AMRO,REPORTING,6/18/2021,3133387,2079889,17.76,11.789,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/21/2021,3
Egypt,EGY,EMRO,REPORTING,6/20/2021,4010467,3315854,3.919,3.24,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Sinovac - CoronaVac",1/24/2021,4
El Salvador,SLV,AMRO,REPORTING,6/18/2021,2294464,1275853,35.375,19.67,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/17/2021,4
Equatorial Guinea,GNQ,AFRO,REPORTING,6/20/2021,257146,148579,18.328,10.59,"Beijing CNBG - BBIBP-CorV,Sinovac - CoronaVac",2/12/2021,2
Estonia,EST,EURO,REPORTING,6/13/2021,836684,514543,63,38.717,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/23/2020,4
Eswatini,SWZ,AFRO,REPORTING,6/20/2021,34897,34897,3.008,3.008,SII - Covishield,3/19/2021,1
Ethiopia,ETH,AFRO,REPORTING,6/20/2021,1975957,1975957,1.719,1.719,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",3/13/2021,3
Falkland Islands (Malvinas),FLK,AMRO,OWID,4/14/2021,4407,2632,126.529,75.567,AstraZeneca - AZD1222,,1
Faroe Islands,FRO,EURO,OWID,6/20/2021,42457,25952,86.886,53.11,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2
Fiji,FJI,WPRO,REPORTING,5/5/2021,65419,65419,7.298,7.298,"AstraZeneca - Vaxzevria,SII - Covishield",3/7/2021,2
Finland,FIN,EURO,REPORTING,6/13/2021,3569324,2840523,64.6,51.409,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/23/2020,4
France,FRA,EURO,REPORTING,6/13/2021,41912459,28699432,62.3,42.631,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/30/2020,4
French Guiana,GUF,AMRO,REPORTING,6/18/2021,70126,43182,23.478,14.458,,,
French Polynesia,PYF,WPRO,REPORTING,6/12/2021,110157,64749,39.215,23.05,"Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty",1/18/2021,2
Gabon,GAB,AFRO,REPORTING,6/20/2021,41737,29400,1.875,1.321,Beijing CNBG - BBIBP-CorV,3/23/2021,1
Gambia,GMB,AFRO,REPORTING,6/20/2021,40810,30421,1.689,1.259,"Beijing CNBG - BBIBP-CorV,SII - Covishield",3/10/2021,2
Georgia,GEO,EURO,REPORTING,6/13/2021,203311,137025,5.1,3.435,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/17/2021,4
Germany,DEU,EURO,REPORTING,6/13/2021,62132301,40237867,74.7,48.382,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/23/2020,4
Ghana,GHA,AFRO,REPORTING,6/20/2021,1232876,852047,3.968,2.742,"Gamaleya - Sputnik V,SII - Covishield",3/2/2021,2
Gibraltar,GIB,EURO,OWID,6/12/2021,77831,39133,231.014,116.153,Pfizer BioNTech - Comirnaty,,1
Greece,GRC,EURO,REPORTING,6/13/2021,6985885,4239330,65.2,39.551,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/23/2020,4
Greenland,GRL,EURO,OWID,6/18/2021,32175,21863,56.674,38.51,Moderna - mRNA-1273,,1
Grenada,GRD,AMRO,REPORTING,6/18/2021,29157,19024,25.912,16.907,"AstraZeneca - Vaxzevria,SII - Covishield",2/15/2021,2
Guadeloupe,GLP,AMRO,REPORTING,6/18/2021,91828,57975,22.95,14.489,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",1/8/2021,5
Guam,GUM,WPRO,REPORTING,5/28/2021,142838,79840,84.632,47.306,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",1/4/2021,3
